run_dir,dataset,model,seed,MAE,RMSE,PearsonR,SpearmanRho,ROC-AUC,PR-AUC,F1,MCC
runs/2026-05-28_11-20-10_esol_rf_seed1337,esol,rf,1337,0.9722780420207778,1.3199501847622241,0.8082281799635493,0.8147950412712247,,,,
runs/2026-05-28_11-20-21_lipophilicity_rf_seed42,lipophilicity,rf,42,0.6260426462207106,0.8367666261038881,0.6953086348343369,0.7001866679202052,,,,
runs/2026-05-28_11-20-50_gsht_rf_seed1337,gsht,rf,1337,0.5200944002147067,0.6995524256467881,0.7403698083001904,0.7518716577540107,,,,
runs/2026-05-28_11-20-15_freesolv_rf_seed42,freesolv,rf,42,1.0970006619543637,1.5279251215691954,0.8965273459630755,0.9030851130046531,,,,
runs/2026-05-28_11-20-46_bbbp_rf_seed2024,bbbp,rf,2024,,,,,0.9252840909090909,0.9774611388905473,0.9333333333333333,0.6609222207023923
runs/2026-05-28_11-20-36_bace_rf_seed1337,bace,rf,1337,0.6441659569337391,0.8372362709164818,0.8009310653800554,0.7512202100749915,,,,
runs/2026-05-28_11-20-19_freesolv_rf_seed2024,freesolv,rf,2024,1.118198476810514,1.551570813607535,0.8929734530694791,0.8967660700154078,,,,
runs/2026-05-28_11-20-30_lipophilicity_rf_seed2024,lipophilicity,rf,2024,0.6276500393235075,0.8338470662796172,0.6980460759639895,0.6992797544697957,,,,
runs/2026-05-28_11-20-39_bace_rf_seed2024,bace,rf,2024,0.6415870103648886,0.8304831081558516,0.8052675248750857,0.7511696675708743,,,,
runs/2026-05-28_11-20-25_lipophilicity_rf_seed1337,lipophilicity,rf,1337,0.6299721941798945,0.8421344431625456,0.6903822492938702,0.695971034867811,,,,
runs/2026-05-28_11-20-13_esol_rf_seed2024,esol,rf,2024,0.9687959702638634,1.3169558888433919,0.8084869396106802,0.8099293567005631,,,,
runs/2026-05-28_11-20-43_bbbp_rf_seed1337,bbbp,rf,1337,,,,,0.9311789772727271,0.9793821578511649,0.9333333333333333,0.6609222207023923
runs/2026-05-28_11-20-08_esol_rf_seed42,esol,rf,42,0.9804883438698216,1.3271829000245108,0.8036282470639737,0.8083832335403075,,,,
runs/2026-05-28_11-20-34_bace_rf_seed42,bace,rf,42,0.6434107300412808,0.8320691343425846,0.8046985172797789,0.7527852848576576,,,,
runs/2026-05-28_11-20-17_freesolv_rf_seed1337,freesolv,rf,1337,1.0981379611855147,1.520977182505967,0.8979852038604266,0.9070001722479896,,,,
runs/2026-05-28_11-20-41_bbbp_rf_seed42,bbbp,rf,42,,,,,0.9229403409090909,0.9763179039052814,0.9333333333333333,0.6609222207023923
runs/2026-05-28_11-20-52_gsht_rf_seed2024,gsht,rf,2024,0.5348245773865302,0.7206519641418988,0.7149295319730864,0.7200916730328494,,,,
runs/2026-05-28_11-20-48_gsht_rf_seed42,gsht,rf,42,0.5397241510958249,0.7270536378749457,0.7092268852862803,0.7289533995416348,,,,
