model,seed,epoch,train_loss,val_metric,val_mse
molformer,2024,1,36.4489,3.481,
molformer,2024,2,4.9068,1.4264,
molformer,2024,3,2.0545,1.8621,
molformer,2024,4,1.959,1.3134,
molformer,2024,5,1.5355,1.2343,
molformer,2024,6,1.7121,1.27,
molformer,2024,7,1.7848,1.2248,
molformer,2024,8,1.5928,1.3598,
molformer,2024,9,1.8781,1.2234,
molformer,2024,10,1.9326,1.3994,
molformer,2024,11,1.7443,1.3562,
molformer,2024,12,1.5089,1.3293,
molformer,2024,13,1.4613,1.2463,
molformer,2024,14,1.5049,1.2308,
molformer,2024,15,1.3532,1.2342,
molformer,2024,16,1.1591,1.1106,
molformer,2024,17,1.1031,1.1062,
molformer,2024,18,0.9424,1.0897,
molformer,2024,19,0.9576,1.0462,
molformer,2024,20,0.9274,1.2464,
molformer,2024,21,0.8897,1.1283,
molformer,2024,22,0.8032,1.0295,
molformer,2024,23,0.7769,1.0097,
molformer,2024,24,0.7113,1.0496,
molformer,2024,25,0.746,0.9518,
molformer,2024,26,0.7506,0.9893,
molformer,2024,27,0.7066,0.9837,
molformer,2024,28,0.6968,0.969,
molformer,2024,29,0.6639,0.954,
molformer,2024,30,0.678,0.9677,
