model,budget,cv_mae,test_mae,test_r,wall_s
RF,1,0.5982,0.607,0.8286,3.5
RF,3,0.5634,0.5593,0.8376,9.34
RF,5,0.5634,0.5593,0.8376,20.34
RF,10,0.5626,0.562,0.8404,43.19
RF,20,0.5553,0.5554,0.8417,81.74
RF,40,0.5543,0.5555,0.8404,191.95
RF,80,0.5543,0.5555,0.8404,425.99
GBM,1,0.5879,0.6097,0.8157,14.32
GBM,3,0.5879,0.6097,0.8157,66.34
GBM,5,0.5843,0.5948,0.8229,91.9
GBM,10,0.5836,0.6095,0.8155,130.27
GBM,20,0.5695,0.5926,0.8195,206.21
GBM,40,0.5628,0.5898,0.8184,379.01
GBM,80,0.5603,0.5568,0.8414,986.47
SVR,1,1.1105,1.1147,0.0563,2.03
SVR,3,0.6012,0.6055,0.7991,6.26
SVR,5,0.6012,0.6055,0.7991,9.69
SVR,10,0.6012,0.6055,0.7991,20.34
SVR,20,0.5811,0.5811,0.8196,39.39
SVR,40,0.5779,0.5616,0.835,81.89
SVR,80,0.572,0.5606,0.8354,160.96
TabPFN,0,,0.4982063427186568,0.8725691480387822,4.83
