dataset,model,stratum,n,coverage,mean_tanimoto
esol,rf,low,77,0.7792207792207793,0.3626438221513928
esol,rf,med,75,0.9866666666666668,0.5440804246659086
esol,rf,high,75,0.9466666666666668,0.7691265301925987
esol,molformer,low,77,0.8441558441558441,0.3626438221513928
esol,molformer,med,75,0.9466666666666668,0.5440804246659086
esol,molformer,high,75,0.9066666666666666,0.7691265301925987
esol,chemfm,low,77,0.8701298701298701,0.3626438221513928
esol,chemfm,med,75,0.9866666666666668,0.5440804246659086
esol,chemfm,high,75,0.92,0.7691265301925987
esol,unimol,low,77,0.6753246753246753,0.3626438221513928
esol,unimol,med,75,0.92,0.5440804246659086
esol,unimol,high,75,0.9066666666666666,0.7691265301925987
freesolv,rf,low,43,0.7674418604651163,0.3699795930923598
freesolv,rf,med,43,0.9302325581395348,0.5457031092337509
freesolv,rf,high,43,0.9767441860465116,0.8168648065903833
freesolv,molformer,low,43,0.9069767441860463,0.3699795930923598
freesolv,molformer,med,43,0.9767441860465116,0.5457031092337509
freesolv,molformer,high,43,1.0,0.8168648065903833
freesolv,chemfm,low,43,0.9302325581395348,0.3699795930923598
freesolv,chemfm,med,43,0.9767441860465116,0.5457031092337509
freesolv,chemfm,high,43,1.0,0.8168648065903833
freesolv,unimol,low,43,0.8837209302325582,0.3699795930923598
freesolv,unimol,med,43,0.9767441860465116,0.5457031092337509
freesolv,unimol,high,43,1.0,0.8168648065903833
lipophilicity,rf,low,281,0.7900355871886121,0.3863361624710365
lipophilicity,rf,med,280,0.9642857142857144,0.6774432332375158
lipophilicity,rf,high,279,0.982078853046595,0.8483461877658209
lipophilicity,molformer,low,281,0.8149466192170819,0.3863361624710365
lipophilicity,molformer,med,280,0.9285714285714286,0.6774432332375158
lipophilicity,molformer,high,279,0.974910394265233,0.8483461877658209
lipophilicity,chemfm,low,281,0.7722419928825622,0.3863361624710365
lipophilicity,chemfm,med,280,0.9357142857142856,0.6774432332375158
lipophilicity,chemfm,high,279,0.967741935483871,0.8483461877658209
lipophilicity,unimol,low,281,0.7437722419928826,0.3863361624710365
lipophilicity,unimol,med,280,0.925,0.6774432332375158
lipophilicity,unimol,high,279,0.935483870967742,0.8483461877658209
bace,rf,low,102,0.8725490196078431,0.6348283540674965
bace,rf,med,100,0.95,0.7997821967404763
bace,rf,high,101,0.9702970297029704,0.8914095606897896
bace,molformer,low,102,0.8921568627450981,0.6348283540674965
bace,molformer,med,100,0.92,0.7997821967404763
bace,molformer,high,101,0.9405940594059404,0.8914095606897896
bace,chemfm,low,102,0.8235294117647058,0.6348283540674965
bace,chemfm,med,100,0.89,0.7997821967404763
bace,chemfm,high,101,0.9504950495049505,0.8914095606897896
bace,unimol,low,102,0.9117647058823528,0.6348283540674965
bace,unimol,med,100,0.92,0.7997821967404763
bace,unimol,high,101,0.9702970297029704,0.8914095606897896
