alpha,target_coverage,empirical_coverage,mean_width,q,test_mae,dataset,model
0.1,0.9,0.9030837004405287,4.660905333333332,2.330452666666666,0.9767200583214148,esol,rf
0.1,0.9,0.8986784140969163,4.786353199999999,2.3931766,1.215166469603524,esol,molformer
0.1,0.9,0.9251101321585903,3.8104220000000018,1.9052110000000002,0.8278577286343612,esol,chemfm
0.1,0.9,0.8325991189427313,1.6116220000000008,0.8058110000000003,0.43471299427312776,esol,unimol
0.1,0.9,0.8986784140969163,1.783280057907105,0.8916400289535522,0.3651730125378735,esol,tabpfn
0.1,0.9,0.8914728682170543,5.609559999999989,2.8047799999999947,1.1798767383189577,freesolv,rf
0.1,0.9,0.9612403100775194,4.825005999999998,2.412502999999999,0.632448863488372,freesolv,molformer
0.1,0.9,0.9689922480620154,10.3415454,5.1707727,1.751181562635659,freesolv,chemfm
0.1,0.9,0.9534883720930233,3.3675539999999984,1.6837769999999992,0.4940519051007752,freesolv,unimol
0.1,0.9,0.9767441860465116,3.59838264465332,1.79919132232666,0.3996261132353296,freesolv,tabpfn
0.1,0.9,0.9119047619047619,2.8398809523809523,1.4199404761904764,0.6244809403250188,lipophilicity,rf
0.1,0.9,0.905952380952381,1.8760800000000006,0.9380400000000002,0.4349997601297619,lipophilicity,molformer
0.1,0.9,0.8916666666666667,2.4104470000000005,1.2052235,0.5575780097904761,lipophilicity,chemfm
0.1,0.9,0.8678571428571429,1.7170118000000005,0.8585059000000002,0.4506929396186429,lipophilicity,unimol
0.1,0.9,0.9083333333333333,2.0484963798522955,1.0242481899261477,0.4562605487156793,lipophilicity,tabpfn
0.1,0.9,0.9306930693069307,2.8474968957333293,1.4237484478666644,0.5452844951971062,bace,rf
0.1,0.9,0.9174917491749175,2.9615979999999986,1.4807989999999993,0.6260223363036304,bace,molformer
0.1,0.9,0.8877887788778878,2.7020811999999985,1.3510405999999993,0.5984681415841584,bace,chemfm
0.1,0.9,0.933993399339934,2.878177599999999,1.4390887999999995,0.5734103775577557,bace,unimol
0.1,0.9,0.9306930693069307,2.4444618823730466,1.222230941186523,0.4984556145766154,bace,tabpfn
0.1,0.9,0.9122807017543859,545.7725600000094,272.8862800000047,120.79582136260565,qm7,rf
0.1,0.9,0.9093567251461988,765.4162,382.70810000000006,178.3310062865497,qm7,molformer
0.1,0.9,0.922514619883041,643.9511999999999,321.9756,151.59175517543858,qm7,chemfm
0.1,0.9,0.922514619883041,288.31919999999985,144.15959999999995,41.68319131578948,qm7,unimol
0.1,0.9,0.8806244260789715,0.03134501203999979,0.015672506019999893,0.007068715324717301,qm8,rf
0.1,0.9,0.9035812672176309,0.03417658000000001,0.017088290000000006,0.008485404389348028,qm8,molformer
0.1,0.9,0.8842975206611571,0.02348323999999996,0.01174161999999998,0.005688487379247016,qm8,chemfm
0.1,0.9,0.9086317722681359,0.015782400000000085,0.007891200000000043,0.0033399613535353536,qm8,unimol
