dataset,model,n_seeds,width_mean,width_std,cov_mean,cov_std
esol,rf,3,4.6646662116401965,0.07839688107458075,0.8986784140969163,0.003596901237567103
esol,chemprop,3,2.2761278666666658,0.048562697849641276,0.9162995594713657,0.00719380247513416
esol,molformer,3,3.0935698666666664,1.207756681958661,0.9030837004405287,0.016483072188431452
esol,chemfm,3,3.893230133333333,0.05892184999705454,0.933920704845815,0.00719380247513416
esol,unimol,3,1.6116220000000008,0.0,0.8325991189427313,0.0
esol,tabpfn,1,1.783280057907105,0.0,0.8986784140969163,0.0
freesolv,rf,3,5.791333333333317,0.1287932682850871,0.8966408268733851,0.0036542986107831977
freesolv,chemprop,3,5.0834316,0.21255558551255824,0.9948320413436692,0.0073085972215663954
freesolv,molformer,3,6.655709999999999,2.299982239751139,0.9560723514211887,0.0073085972215663954
freesolv,chemfm,3,10.459429533333333,0.09997221883494598,0.9741602067183462,0.0073085972215663954
freesolv,unimol,3,3.3675539999999984,0.0,0.9534883720930233,0.0
freesolv,tabpfn,1,3.59838264465332,0.0,0.9767441860465116,0.0
lipophilicity,rf,3,2.834960317460317,0.03058853691626416,0.9103174603174603,0.0014847846772912414
lipophilicity,chemprop,3,1.804851,0.0447834810405206,0.9011904761904762,0.0029160592175990112
lipophilicity,molformer,3,1.9380446333333339,0.07359563786286619,0.9027777777777778,0.003680007339482409
lipophilicity,chemfm,3,2.4417867333333336,0.023509977216681386,0.8988095238095238,0.007009334020895092
lipophilicity,unimol,3,1.7170118000000005,0.0,0.8678571428571429,0.0
lipophilicity,tabpfn,1,2.0484963798522955,0.0,0.9083333333333333,0.0
bace,rf,3,2.8732566857777733,0.018287747380506196,0.9339933993399341,0.0026947081878802713
bace,chemprop,3,2.660275466666667,0.171237109640354,0.9251925192519254,0.010890533483621187
bace,molformer,3,2.9342816666666653,0.3104264507011106,0.9240924092409241,0.009334742985961032
bace,chemfm,3,2.6326099999999997,0.05049503028642128,0.8954895489548954,0.0067815335566215225
bace,unimol,3,2.878177599999999,0.0,0.933993399339934,0.0
bace,tabpfn,1,2.4444618823730466,0.0,0.9306930693069307,0.0
qm7,rf,3,545.2768133333469,1.9927083442871196,0.9142300194931773,0.0013783757917866814
qm7,molformer,3,739.6723333333334,20.917445025198933,0.9147173489278752,0.0038372358060486467
qm7,chemfm,3,630.5769999999999,14.987634002292252,0.9147173489278752,0.010011032448427964
qm7,unimol,3,288.31919999999985,0.0,0.922514619883041,0.0
qm8,rf,3,0.031485891466666215,0.00010185302789890952,0.884297520661157,0.002703324415772219
qm8,molformer,3,0.06538191333333333,0.04614040153356374,0.8997551270278543,0.002863221140782024
qm8,chemfm,3,0.023681386666666655,0.000206447840278241,0.889654116926844,0.00471718243263616
qm8,unimol,3,0.015782400000000085,0.0,0.9086317722681359,0.0
