smiles,y_true,mean_abs_err,tanimoto_nn,abs_dev_mean,on_cliff,label_conflict,undef_stereo
Cc1ccc(C)c(OCC(O)CN2CCOCC2)c1,2.699,2.356,0.247,3.831,False,False,1
CN(C(=O)CCN1Cc2cc(C(=O)c3ccccc3)ccc2N=C1N)C1CCCCC1,7.959,2.175,0.39,1.429,False,False,0
Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)N(C)C3CCCCC3)cc2c1,5.284,2.166,0.719,1.246,False,False,0
CCn1cc([C@@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,5.708,1.909,1.0,0.822,True,True,0
CC(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)C2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,8.602,1.901,0.712,2.072,False,False,1
CCc1cc(CCN)ccc1O,3.18,1.871,0.306,3.349,False,False,0
CCCCCS(=O)(=O)CC(NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1,8.699,1.773,0.459,2.169,False,False,1
CC(C)c1cccc(C2(NCC(O)C3Cc4cccc(c4)OCCCCOc4cc(cc(N5CCCC5=O)c4)C(=O)N3)CC2)c1,9.0,1.662,0.697,2.47,False,False,2
Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,9.187,1.596,0.762,2.657,False,False,1
CC(C)c1cccc(CNCC(O)C2COC/C=C/C[C@H](c3ccccc3)NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,8.495,1.55,0.795,1.965,True,True,2
C[C@@]1(c2cccc(-c3cccnc3)c2)N=C(c2ccccc2)C(=N)N1,4.0,1.531,0.492,2.53,False,False,0
Cc1ccc(N(c2ccccc2)S(C)(=O)=O)cc1C(=O)NC(Cc1ccccc1)C(O)CNCc1cccc(C(F)(F)F)c1,5.46,1.47,0.8,1.07,False,False,2
CN1C(=O)[C@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,5.857,1.402,1.0,0.673,True,True,0
Nc1nc2ccccc2nc1N1CCCC1,3.06,1.372,0.273,3.469,False,False,0
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccs2)CCCCC1,4.523,1.365,0.733,2.007,False,False,2
