dataset,model,n_test,covered,coverage,ci95_lo,ci95_hi,cal_n,q_index
esol,rf,227,205,0.903,0.858,0.935,112,102
esol,molformer,227,204,0.899,0.853,0.932,112,102
esol,chemfm,227,210,0.925,0.883,0.953,112,102
esol,unimol,227,189,0.833,0.779,0.876,112,102
esol,tabpfn,227,204,0.899,0.853,0.932,112,102
freesolv,rf,129,115,0.891,0.826,0.934,64,59
freesolv,molformer,129,124,0.961,0.912,0.983,64,59
freesolv,chemfm,129,125,0.969,0.923,0.988,64,59
freesolv,unimol,129,123,0.953,0.902,0.979,64,59
freesolv,tabpfn,129,126,0.977,0.934,0.992,64,59
lipophilicity,rf,840,766,0.912,0.891,0.929,420,379
lipophilicity,molformer,840,761,0.906,0.884,0.924,420,379
lipophilicity,chemfm,840,749,0.892,0.869,0.911,420,379
lipophilicity,unimol,840,729,0.868,0.843,0.889,420,379
lipophilicity,tabpfn,840,763,0.908,0.887,0.926,420,379
bace,rf,303,282,0.931,0.896,0.954,151,137
bace,molformer,303,278,0.917,0.881,0.943,151,137
bace,chemfm,303,269,0.888,0.847,0.919,151,137
bace,unimol,303,283,0.934,0.9,0.957,151,137
bace,tabpfn,303,282,0.931,0.896,0.954,151,137
qm7,rf,684,624,0.912,0.889,0.931,683,616
qm7,molformer,684,622,0.909,0.885,0.929,683,616
qm7,chemfm,684,631,0.923,0.9,0.94,683,616
qm7,unimol,684,631,0.923,0.9,0.94,683,616
qm8,rf,2178,1918,0.881,0.866,0.894,2176,1960
qm8,molformer,2178,1968,0.904,0.89,0.915,2176,1960
qm8,chemfm,2178,1926,0.884,0.87,0.897,2176,1960
qm8,unimol,2178,1979,0.909,0.896,0.92,2176,1960
