dataset,model,cqr_width,cqr_width_std,cqr_cov,cqr_cov_std,n
bace,chemprop,6.742003122965495,0.0269837693476329,0.8789878987898789,0.0162801414597895,3
bace,gbm,4.014281605544796,0.0212267794586523,0.935093509350935,0.0038108928659379,3
bace,molformer,3.2762271218654884,1.276287131394554,0.9251925192519252,0.0133381250307832,3
bace,unimol,2.9299182097117105,0.1200647448880994,0.9405940594059404,0.0174637050235286,3
esol,chemprop,6.895291169484456,0.0870591664273531,0.8928046989721,0.0091703347994103,3
esol,gbm,7.653651791608252,0.1121009501622851,0.9383259911894272,0.0076301797690258,3
esol,molformer,3.956252458922155,2.7699414082374028,0.8942731277533039,0.0158834857949954,3
esol,unimol,2.304850419362386,0.1793372246582143,0.9045521292217328,0.01547085719949,3
freesolv,chemprop,9.675089518229166,0.6119285599647255,0.96640826873385,0.0089511669641802,3
freesolv,gbm,10.988767071066556,0.0474618772711287,0.868217054263566,0.0134267504462703,3
freesolv,molformer,7.315504274088371,3.6500417800979874,0.937984496124031,0.0471531979092884,3
freesolv,unimol,3.835911115010579,0.1942604307041137,0.9483204134366924,0.0089511669641802,3
lipophilicity,chemprop,2.7466675440470376,0.0545037187385073,0.8904761904761905,0.0062994078834871,3
lipophilicity,gbm,3.5654722602999165,0.0157534162070575,0.8976190476190476,0.0020619652471057,3
lipophilicity,molformer,2.800779215596668,1.159121812502085,0.9186507936507936,0.0069755539012885,3
lipophilicity,unimol,1.9609712362289429,0.0537536349245253,0.8873015873015873,0.0006873217490352,3
