setting,kind,model,n_feat,MAE,MAE_std,PearsonR
Morgan r2/1024,config,RF,1024,0.5677204590524692,0.0018259695418548518,0.84002044615796
Morgan r2/2048,config,RF,2048,0.5592091841238768,0.0008738881418943074,0.8369266466427489
Morgan r2/4096,config,RF,4096,0.5532051389216245,0.0010592590155473263,0.83867292857455
Morgan r3/1024,config,RF,1024,0.5841167029313062,0.0021197377830684257,0.8311392879957088
Morgan r3/2048,config,RF,2048,0.5674708242915057,0.001408683746958526,0.8334745061858101
Morgan r3/4096,config,RF,4096,0.5589462336820903,0.0018407764155007444,0.8328989163032636
all-2048,selection,RF,2048,0.5592091841238767,0.0008738881418943553,0.8369266466427489
all-2048,selection,Ridge,2048,0.5955185677923479,0.0,0.8136116923973535
VarianceThreshold,selection,RF,783,0.5583049609779397,0.0008026049322115644,0.8380127450978115
VarianceThreshold,selection,Ridge,783,0.5924540864176031,0.0,0.8313378019907209
SelectKBest-MI-512,selection,RF,512,0.5585790992056202,0.0005394684274602893,0.8385810492105147
SelectKBest-MI-512,selection,Ridge,512,0.6287385040752721,0.0,0.8129158801642808
Lasso-SelectFromModel,selection,RF,53,0.5920563166793028,0.003240329508707197,0.8151181050965025
Lasso-SelectFromModel,selection,Ridge,53,0.7410899767035317,0.0,0.7440988307312117
