descriptor,perm_importance,perm_std,spearman_vs_pIC50
Chi0,0.13055464875293826,0.016373188702430853,0.4654709615318424
MinEStateIndex,0.09385526760491902,0.014336328461013821,-0.34310120346665823
Chi2v,0.02017674557675851,0.005126307411659312,0.3552687021566944
MinAbsEStateIndex,0.018583363530307945,0.004993919884095988,-0.21032437540425092
HeavyAtomMolWt,0.018262044044409852,0.005360427166178858,0.43981220809268334
MaxEStateIndex,0.013463027646341464,0.0029278115583263728,0.447105266297603
BertzCT,0.011693548758240125,0.0029233833322402252,0.427775595165988
BCUT2D_MWLOW,0.010957897513211672,0.002995568760467731,-0.11859141662616593
MaxAbsEStateIndex,0.009666687586543788,0.002255725637080774,0.447105266297603
BCUT2D_MRLOW,0.00923033633243393,0.0024352776752669023,-0.2346052935231095
fr_ester,0.008992143460257623,0.0024136688337836657,-0.11076067140255078
PEOE_VSA8,0.008983432189404705,0.001143285350592241,0.34480230401394774
Chi1,0.008638970924804684,0.0017864184073702039,0.4518808277293348
Chi2n,0.008576907688938634,0.0016969595436971913,0.4082796211828984
SMR_VSA9,0.00845395091609626,0.0037197661595389894,0.08230694311563169
PEOE_VSA7,0.008143717036621607,0.002304603294046049,0.2746571244204912
EState_VSA8,0.007769728438425294,0.0015419110837371517,0.07280932846095339
BCUT2D_CHGLO,0.006867355215366433,0.0014671269536259606,-0.12607922346298228
BCUT2D_LOGPHI,0.00615817287321469,0.0033899277573655796,0.03362686370924694
TPSA,0.005316008569114355,0.0009398244326279278,0.36519303019997357
SlogP_VSA4,0.004652997244379248,0.0016397983855015784,0.20354300241810996
NumAtomStereoCenters,0.00462190068580764,0.0018042155034105319,0.23386246573524197
VSA_EState4,0.0045883549594034735,0.0012056772272223538,-0.12096233483477435
SMR_VSA4,0.004449551991458467,0.0012631035283395193,0.04514711579018463
SlogP_VSA1,0.004279008367817511,0.0011176238676135135,0.30893682653620486
Chi4v,0.0039704796840607515,0.0013632174254144525,0.299267892509206
BCUT2D_CHGHI,0.0036884066849373455,0.0011119346696262535,0.17060595266817272
SPS,0.0036631743014733263,0.00102510777310888,0.058943360591675924
SlogP_VSA10,0.0036005758237289296,0.0015740634785157536,0.22306037960257205
VSA_EState2,0.003515362948821754,0.0013189875414834147,0.279507725722615
PEOE_VSA3,0.0034975154467888235,0.001165811869332483,0.22399430625222008
MolLogP,0.0034923252567515216,0.0007030602289410958,0.13847985255644565
VSA_EState8,0.003218694566013547,0.0007635020347813999,0.1728789894981111
SMR_VSA6,0.0031330121267088007,0.0007907387059441349,0.24573243398273265
MolMR,0.0030718257934212235,0.0007244295271088831,0.3892493433773888
SlogP_VSA3,0.0030458518195626673,0.0008060289600073132,0.25226845015724314
VSA_EState3,0.0030364441318347867,0.0007661725723530906,0.2667632403619567
VSA_EState5,0.003035843490782114,0.0006467675961240025,-0.26965641182228417
SlogP_VSA2,0.0028297018943143513,0.0005136456511006336,0.4087863508338951
LabuteASA,0.0028022605342038374,0.0006900656222748444,0.43730373218153096
Kappa1,0.002797568385919469,0.0005543058299019832,0.436834414704547
BCUT2D_LOGPLOW,0.0027947309307341127,0.0006725912025049105,-0.2939680825772626
qed,0.0027392098642045224,0.0008038975667300117,-0.3551987932275653
EState_VSA6,0.0026933041843518525,0.0008297155907780207,0.07538400531792208
NumUnspecifiedAtomStereoCenters,0.0026733087137816858,0.0008482009379853266,0.06159102469347336
PEOE_VSA1,0.002583063302732175,0.0006161776217708013,0.3356272151618388
Chi4n,0.002555836134262335,0.0007191480302716967,0.35812862387141897
MaxAbsPartialCharge,0.0025239150347928898,0.0006110125014796857,0.10090822302796994
EState_VSA5,0.0025098607158525023,0.0014249557692374724,0.10274631326657488
HallKierAlpha,0.002471894879573916,0.0008601102441418586,-0.33859918405549544
FpDensityMorgan3,0.0023293300083721824,0.0017067528344953218,-0.08462769463362596
fr_pyridine,0.002309085908416575,0.0007696687399788635,0.15937928221430428
fr_aryl_methyl,0.00229100951288983,0.001829415526647367,0.0981105024571419
SlogP_VSA5,0.002247420274367584,0.00037263755713781184,0.2613403060483997
Ipc,0.0022221078581019737,0.0006032749039954615,0.43895250871527247
SMR_VSA5,0.002190897976112033,0.00035526980295116163,0.2728759382842825
VSA_EState6,0.002166821517774797,0.0010951646316405819,-0.04371981906903804
fr_halogen,0.0021008475989117924,0.0008264844947132611,0.23797432666874144
PEOE_VSA10,0.002093198008551378,0.0007066750718036026,0.18312796982133375
PEOE_VSA12,0.002046578268260152,0.0006519463588696398,0.07666557211722236
BalabanJ,0.0019747942617377224,0.000951600418425085,-0.0820471650649462
PEOE_VSA6,0.001962167483957811,0.0009567321867294985,0.07822651443285922
Chi3n,0.0019480331820805274,0.0004739706512949615,0.3855489072431746
MinPartialCharge,0.0019418168641324174,0.0004983432466906918,-0.10008115389305984
MinAbsPartialCharge,0.0018204630196803407,0.0004249919870616265,0.2203297590457625
Chi3v,0.0017641280568316986,0.0006171675772741715,0.32476439784579114
Chi0v,0.001742604222163735,0.0003935010320869889,0.4149818634627007
EState_VSA1,0.0017055523353690482,0.0004485287494474136,0.3959020372668245
PEOE_VSA9,0.0016491008246057037,0.0008205912128056906,0.1557125287382482
fr_allylic_oxid,0.0014680361824232157,0.0007676202937789355,-0.013549639050064644
VSA_EState1,0.0014387962567027402,0.000569469859323883,0.277731668860791
EState_VSA10,0.0014365896136449175,0.00028266058124705484,0.3885461055531911
Chi0n,0.0014210102170477746,0.00027219808761557693,0.4332225781197503
VSA_EState9,0.0014062429471914661,0.0008146779888250846,-0.0015928250933199023
FpDensityMorgan2,0.0013466226759340394,0.0022912501221643376,-0.07865981815751712
SMR_VSA7,0.0013151808012436205,0.00040560784367354503,0.15210471141766038
MaxPartialCharge,0.0012768385661334647,0.0003016376579988827,0.21817120166947884
Kappa3,0.0012756686237338389,0.0005363765211268569,0.3196167854088688
PEOE_VSA11,0.0012679169062600692,0.0008419403202333369,0.022061064492284364
BCUT2D_MWHI,0.0011859713807793437,0.0009562762595678955,-0.035624403075969
RingCount,0.0011190295045190647,0.0007085444751844899,0.15668433356375844
fr_Ndealkylation1,0.001048933632845439,0.00023038095075129936,0.12481278105962863
PEOE_VSA2,0.00104230358858442,0.0004174327456435016,0.09645125988783203
BCUT2D_MRHI,0.0009827021875455145,0.001113775184792836,-0.03955865618567749
FpDensityMorgan1,0.0009462366920400145,0.0006456340771398075,-0.10857059170793107
SMR_VSA1,0.0009449732789427456,0.00021105637815229146,0.40480190894411233
EState_VSA9,0.0009431071715183925,0.00033106382352529146,-0.1682426887336393
VSA_EState7,0.0009305594748771628,0.00046071443397572865,0.019050306038958555
SMR_VSA3,0.0009144766427727824,0.00038363443431665094,0.2781362443765712
NumHAcceptors,0.0009023815769945598,0.00032739186505067954,0.388234310854831
ExactMolWt,0.0008521142931795733,0.00021673146845249713,0.4361109979594893
SlogP_VSA6,0.0008490589317391162,0.0005871904763272907,0.06515296475828505
MolWt,0.0008233221720116091,0.00030232272661912733,0.43579609853058165
Chi1n,0.0008187817395063967,0.00022538488345648017,0.4010960485739735
fr_bicyclic,0.0007907035321625788,0.0001618370315587039,0.004074431202720195
NOCount,0.0007328768075576863,0.0002605970597554307,0.36557128258811966
VSA_EState10,0.0006508051086448752,0.00010803889235320002,-0.21433761069647017
Chi1v,0.0006003926782545798,0.00028542172577863473,0.36836466581515165
FractionCSP3,0.0005836212639861116,0.0005703534920489996,0.14497336868710792
Kappa2,0.0005818011662867717,0.00023919941558609326,0.36711903827604475
NumAromaticHeterocycles,0.0005689384301356514,0.00016962955978672576,0.021071998294422495
fr_ArN,0.0005678429259868723,0.00045355204614409513,-0.1233110013695879
PEOE_VSA13,0.000553795692723541,0.0003307057890664816,0.23145989266090772
fr_Imine,0.0005476271692348656,0.00035537864432388136,0.011544107186117753
EState_VSA3,0.0005338747872314809,0.0005405446343734257,0.11222791421033475
NumAliphaticHeterocycles,0.0004756929905387952,0.0002083067574303985,0.12848122966610265
NHOHCount,0.0004641941309339925,0.00019425900622959178,0.26979939417849164
SMR_VSA10,0.0004615631996018221,0.0004967599746988776,-0.004923103963005193
fr_imidazole,0.0004597252893067005,0.00017794569982068758,-0.2640563298232103
HeavyAtomCount,0.0004262854490973911,0.00015706798504024137,0.45979785505411824
fr_piperdine,0.0004242819838589762,0.00025501348007160037,-0.06042125506262466
fr_ether,0.00041170142945696207,0.00016764368557742605,0.16427129971335383
NumRotatableBonds,0.0004045501658271666,0.00023079876324145915,0.2804465362512366
NumHeteroatoms,0.00039521497346769465,0.0002931753441949647,0.4079573149145406
NumValenceElectrons,0.0003736368629077058,0.00014860412785791042,0.4492068995197893
EState_VSA2,0.0003707251221639951,0.0005252758638943564,0.33518060825878876
fr_Ar_N,0.00033044875221172054,0.00022260879402805263,-0.0045392839846854875
fr_NH0,0.0003238867472888429,0.0003171180285431655,0.04533738759654346
NumHDonors,0.0002993629009649779,9.841630525353386e-05,0.2747107776549948
fr_C_O_noCOO,0.0002682038300524936,0.00015182167028692003,0.2905580739582683
NumAmideBonds,0.0002615335630718141,0.00013599706081957443,0.3109685047083206
fr_C_O,0.00024123837216756262,0.00025614139627016245,0.2750289656968556
fr_NH2,0.00023962951351328421,8.222253517980195e-05,-0.08831748752532717
NumBridgeheadAtoms,0.0002350160742061236,2.7935188409180133e-05,0.08103536870289631
NumSaturatedRings,0.0002313588962740365,0.0002207131700917299,-0.021647417848567944
fr_amide,0.00022227654248491158,0.0001949266314775935,0.3109685047083206
SlogP_VSA11,0.00021436787467925543,0.00017304426684804737,0.1528672599260656
fr_aniline,0.00020798519945272042,0.00015909261818955025,-0.013835881679896377
fr_prisulfonamd,0.0002014169098941587,2.638760379445296e-05,-0.08815786300233826
fr_NH1,0.0001954777511548933,0.00013826268585269996,0.20769917567014684
fr_methoxy,0.00019318954613155027,0.00011354722765269203,0.04774372826284349
NumAromaticRings,0.00018567440515969148,0.00010082586279757935,0.12738286516914857
NumAliphaticRings,0.00018363628324113979,0.00011752614350252325,0.08648568091459476
