scaffold,n_test,mean_err,train_support
c1ccccc1,5,1.264,1
c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1,4,0.765,2
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1c[nH]c2ncccc12,3,0.716,2
O=S1CC(Cc2ccccc2)CC(NCc2ccccc2)C1,4,0.681,9
O=C1NC=NC1(c1ccncc1)c1cccc(-c2ccccc2)c1,3,0.656,6
N=C1NC2(CO1)c1ccccc1Oc1ccc(-c3ccccc3)cc12,4,0.563,10
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1cccc(N2CCCCS2(=O)=O)c1,5,0.546,7
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccccc1,3,0.535,23
c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,6,0.526,24
O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)NC1CCCCC1,3,0.515,9
O=S1(=O)NCC2(CCN(Cc3ccccc3)CC2)N1c1ccccc1,5,0.501,8
O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1,8,0.449,41
O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,5,0.436,12
c1ccc(CCCCNC2(c3ccccc3)CCCCC2)cc1,8,0.431,29
c1ccc(CCCCNC2(c3ccccc3)CC2)cc1,4,0.391,3
O=c1cc(C2CC2c2ccc(-c3ccccc3)cc2)nc[nH]1,3,0.333,13
O=C1NC=NC1(c1ccccc1)c1ccccc1,11,0.32,38
O=C1NC=NC1(c1ccsc1)c1cccc(-c2cncnc2)c1,4,0.309,4
c1ccc(-c2ccc(-c3ccccc3)n2Cc2ccccn2)cc1,4,0.272,9
O=C(NC(Cc1ccccc1)CC1CCCN1)C(CCc1ccccc1)N1CCCC1=O,3,0.256,6
c1ccc2[nH]cnc2c1,3,0.222,4
O=c1cc[nH]c(C(Cc2ccccc2)N=C2NCCc3ccccc32)n1,3,0.214,2
