dataset,backbone,split_w,cqr_w,split_cov,cqr_cov
esol,gbm,4.6646662116401965,7.653651791608252,0.8986784140969163,0.9383259911894272
esol,molformer,3.0935698666666664,3.956252458922155,0.9030837004405288,0.8942731277533039
esol,chemprop,2.2761278666666658,6.895291169484456,0.9162995594713657,0.8928046989721
esol,unimol,1.6116220000000008,2.304850419362386,0.8325991189427313,0.9045521292217328
freesolv,gbm,5.791333333333317,10.988767071066556,0.8966408268733851,0.868217054263566
freesolv,molformer,6.655709999999999,7.315504274088371,0.9560723514211888,0.937984496124031
freesolv,chemprop,5.0834316,9.675089518229166,0.9948320413436692,0.96640826873385
freesolv,unimol,3.3675539999999984,3.835911115010579,0.9534883720930232,0.9483204134366924
lipophilicity,gbm,2.834960317460317,3.5654722602999165,0.9103174603174604,0.8976190476190476
lipophilicity,molformer,1.9380446333333337,2.800779215596668,0.9027777777777778,0.9186507936507936
lipophilicity,chemprop,1.804851,2.7466675440470376,0.9011904761904762,0.8904761904761905
lipophilicity,unimol,1.7170118000000003,1.9609712362289429,0.8678571428571429,0.8873015873015873
bace,gbm,2.8732566857777733,4.014281605544796,0.933993399339934,0.935093509350935
bace,molformer,2.9342816666666653,3.2762271218654884,0.924092409240924,0.9251925192519252
bace,chemprop,2.660275466666667,6.742003122965495,0.9251925192519254,0.8789878987898789
bace,unimol,2.878177599999999,2.9299182097117105,0.933993399339934,0.9405940594059404
