dataset,method,coverage,width
qm8,Gaussian-NLL,0.842,0.037
qm8,MC-Dropout,0.884,0.042
qm8,Gaussian-NLL+TempScale(T=1.18),0.901,0.044
qm8,Split-Conformal(MLP),0.904,0.045
esol,Gaussian-NLL,0.894,5.316
esol,MC-Dropout,0.894,5.36
esol,Gaussian-NLL+TempScale(T=1.16),0.952,6.155
esol,Split-Conformal(MLP),0.965,6.975
freesolv,Gaussian-NLL,0.876,5.173
freesolv,MC-Dropout,0.884,5.628
freesolv,Gaussian-NLL+TempScale(T=1.26),0.93,6.496
freesolv,Split-Conformal(MLP),0.884,5.899
lipophilicity,Gaussian-NLL,0.839,2.331
lipophilicity,MC-Dropout,0.854,2.427
lipophilicity,Gaussian-NLL+TempScale(T=1.26),0.915,2.927
lipophilicity,Split-Conformal(MLP),0.898,2.814
bace,Gaussian-NLL,0.845,2.164
bace,MC-Dropout,0.865,2.28
bace,Gaussian-NLL+TempScale(T=1.24),0.908,2.675
bace,Split-Conformal(MLP),0.927,2.831
qm7,Gaussian-NLL,0.902,501.877
qm7,MC-Dropout,0.902,509.122
qm7,Gaussian-NLL+TempScale(T=1.08),0.923,541.877
qm7,Split-Conformal(MLP),0.915,548.867
