run_dir,dataset,model,seed,MAE,RMSE,PearsonR,SpearmanRho,ROC-AUC,PR-AUC,F1,MCC
runs/2026-05-28_12-02-28_freesolv_molformer_seed42,freesolv,molformer,42,0.8373923301696777,1.1702253818511963,0.9354885379779789,0.9501579752623148,,,,
runs/2026-05-28_12-02-36_lipophilicity_molformer_seed1337,lipophilicity,molformer,1337,0.4395976960659027,0.5973239541053772,0.8603781971780805,0.8415937809046418,,,,
runs/2026-05-28_13-40-54_lipophilicity_chemfm_seed42,lipophilicity,chemfm,42,0.566952645778656,0.7737607359886169,0.7499914765357971,0.7546983070825644,,,,
runs/2026-05-28_13-54-04_bbbp_chemfm_seed2024,bbbp,chemfm,2024,,,,,0.9719444444444444,0.9927339349078819,0.9620253164556962,0.8357282871067254
runs/2026-05-28_12-03-58_bbbp_molformer_seed1337,bbbp,molformer,1337,,,,,0.9802777777777779,0.9948886127808931,0.9652996845425867,0.8478045628660335
runs/2026-05-28_11-20-10_esol_rf_seed1337,esol,rf,1337,0.9722780420207778,1.3199501847622241,0.8082281799635493,0.8147950412712247,,,,
runs/2026-05-28_12-02-24_esol_molformer_seed1337,esol,molformer,1337,0.4375495910644531,0.6134141683578491,0.9592144876078824,0.9619300017922263,,,,
runs/2026-05-28_14-32-36_bace_unimol_seed42,bace,unimol,42,0.651303225570618,0.8328291192149034,0.8042097445180791,0.7677946657355198,,,,
runs/2026-05-28_13-40-43_freesolv_chemfm_seed1337,freesolv,chemfm,1337,1.9664894342422485,2.553419589996338,0.6698381900787354,0.7050231245085113,,,,
runs/2026-05-28_11-20-21_lipophilicity_rf_seed42,lipophilicity,rf,42,0.6260426462207106,0.8367666261038881,0.6953086348343369,0.7001866679202052,,,,
runs/2026-05-28_14-42-45_gsht_unimol_seed42,gsht,unimol,42,0.5074226642645623,0.6905431356921236,0.7485227632369224,0.7766233766233765,,,,
runs/2026-05-28_13-44-19_lipophilicity_chemfm_seed2024,lipophilicity,chemfm,2024,0.5475035309791565,0.7557235956192017,0.7654116153717041,0.7734330584150284,,,,
runs/2026-05-28_14-32-39_bace_unimol_seed1337,bace,unimol,1337,0.651303225570618,0.8328291192149034,0.8042097445180791,0.7677946657355198,,,,
runs/2026-05-28_13-40-49_freesolv_chemfm_seed2024,freesolv,chemfm,2024,1.9198548793792725,2.5217344760894775,0.6751593351364136,0.7137689462128125,,,,
runs/2026-05-28_12-05-31_bbbp_molformer_seed2024,bbbp,molformer,2024,,,,,0.9770833333333334,0.993921524838489,0.9493670886075949,0.7804623842496677
runs/2026-05-28_13-44-24_bace_chemfm_seed42,bace,chemfm,42,0.6627885103225708,0.8357475399971008,0.7989383339881897,0.7509099836704096,,,,
runs/2026-05-28_14-42-48_gsht_unimol_seed1337,gsht,unimol,1337,0.5074226642645623,0.6905431356921236,0.7485227632369224,0.7766233766233765,,,,
runs/2026-05-28_12-02-22_esol_molformer_seed42,esol,molformer,42,1.3360493183135986,1.5773398876190186,0.7822051810849302,0.8663182914272036,,,,
runs/2026-05-28_11-20-50_gsht_rf_seed1337,gsht,rf,1337,0.5200944002147067,0.6995524256467881,0.7403698083001904,0.7518716577540107,,,,
runs/2026-05-28_11-20-15_freesolv_rf_seed42,freesolv,rf,42,1.0970006619543637,1.5279251215691954,0.8965273459630755,0.9030851130046531,,,,
runs/2026-05-28_12-06-27_gsht_molformer_seed2024,gsht,molformer,2024,0.6351940631866455,0.8336467146873474,0.611075543325858,0.5911382734912146,,,,
runs/2026-05-28_11-20-46_bbbp_rf_seed2024,bbbp,rf,2024,,,,,0.9252840909090909,0.9774611388905473,0.9333333333333333,0.6609222207023923
runs/2026-05-28_14-30-04_freesolv_unimol_seed2024,freesolv,unimol,2024,0.6094361410476268,0.821074085942582,0.968713493874994,0.9764412300176495,,,,
runs/2026-05-28_14-29-57_freesolv_unimol_seed42,freesolv,unimol,42,0.6094361410476268,0.821074085942582,0.968713493874994,0.9764412300176495,,,,
runs/2026-05-28_11-20-36_bace_rf_seed1337,bace,rf,1337,0.6441659569337391,0.8372362709164818,0.8009310653800554,0.7512202100749915,,,,
runs/2026-05-28_13-40-59_lipophilicity_chemfm_seed1337,lipophilicity,chemfm,1337,0.5562182664871216,0.7711336016654968,0.7540608644485474,0.7637283235931694,,,,
runs/2026-05-28_12-03-56_bbbp_molformer_seed42,bbbp,molformer,42,,,,,0.9736111111111111,0.9929397767658622,0.9487179487179487,0.7904429207943316
runs/2026-05-28_14-41-54_bace_unimol_seed2024,bace,unimol,2024,0.651303225570618,0.8328291192149034,0.8042097445180791,0.7677946657355198,,,,
runs/2026-05-28_14-30-09_lipophilicity_unimol_seed1337,lipophilicity,unimol,1337,0.42385201025967084,0.5642297749653945,0.8739652978548945,0.8614350022369075,,,,
runs/2026-05-28_12-02-32_freesolv_molformer_seed2024,freesolv,molformer,2024,1.1337435245513916,1.5543303489685059,0.8876484528989057,0.8849306296195032,,,,
runs/2026-05-28_13-55-44_gsht_chemfm_seed1337,gsht,chemfm,1337,0.7253533005714417,0.9317027926445007,0.3713793158531189,0.362566844919786,,,,
runs/2026-05-28_12-05-32_gsht_molformer_seed42,gsht,molformer,42,1.74807870388031,1.9789390563964844,0.48217488479805387,0.5147440794499617,,,,
runs/2026-05-28_11-59-22_gsht_molformer_seed42,gsht,molformer,42,0.7981225252151489,0.9891725778579712,0.532217473100606,0.6229182582123758,,,,
runs/2026-05-28_13-58-34_gsht_chemfm_seed2024,gsht,chemfm,2024,0.772100567817688,0.9822853803634644,0.2618938386440277,0.2519480519480519,,,,
runs/2026-05-28_13-40-34_esol_chemfm_seed2024,esol,chemfm,2024,0.8857841491699219,1.4013646841049194,0.7693349719047546,0.7906668830741734,,,,
runs/2026-05-28_14-32-23_lipophilicity_unimol_seed2024,lipophilicity,unimol,2024,0.42385201025967084,0.5642297749653945,0.8739652978548945,0.8614350022369075,,,,
runs/2026-05-28_13-48-28_bbbp_chemfm_seed1337,bbbp,chemfm,1337,,,,,0.9706944444444444,0.9923163086469299,0.9589905362776026,0.8199743090009355
runs/2026-05-28_13-44-29_bace_chemfm_seed1337,bace,chemfm,1337,0.6471073627471924,0.8163043856620789,0.8083798289299011,0.760551402042023,,,,
runs/2026-05-28_11-20-19_freesolv_rf_seed2024,freesolv,rf,2024,1.118198476810514,1.551570813607535,0.8929734530694791,0.8967660700154078,,,,
runs/2026-05-28_12-55-39_gsht_chemfm_seed42,gsht,chemfm,42,1.1560084819793701,1.4084851741790771,-0.18260972201824188,-0.19113827349121468,,,,
runs/2026-05-28_14-29-48_esol_unimol_seed42,esol,unimol,42,0.4451655374871833,0.565682460327933,0.9655056006253835,0.9610330814323292,,,,
runs/2026-05-28_11-20-30_lipophilicity_rf_seed2024,lipophilicity,rf,2024,0.6276500393235075,0.8338470662796172,0.6980460759639895,0.6992797544697957,,,,
runs/2026-05-28_12-02-30_freesolv_molformer_seed1337,freesolv,molformer,1337,1.9366068840026855,2.5476033687591553,0.6769787374059304,0.6877833241332788,,,,
runs/2026-05-28_13-47-49_bace_chemfm_seed2024,bace,chemfm,2024,0.641634464263916,0.8270857334136963,0.8025236129760742,0.7517134352013775,,,,
runs/2026-05-28_14-29-54_esol_unimol_seed2024,esol,unimol,2024,0.4451655374871833,0.565682460327933,0.9655056006253835,0.9610330814323292,,,,
runs/2026-05-28_12-02-26_esol_molformer_seed2024,esol,molformer,2024,0.45039764046669006,0.6189092993736267,0.9599749943354051,0.964172302691969,,,,
runs/2026-05-28_12-03-30_bace_molformer_seed42,bace,molformer,42,0.6588484644889832,0.8641454577445984,0.7999501067200836,0.7548923844258573,,,,
runs/2026-05-28_11-20-39_bace_rf_seed2024,bace,rf,2024,0.6415870103648886,0.8304831081558516,0.8052675248750857,0.7511696675708743,,,,
runs/2026-05-28_12-03-28_lipophilicity_molformer_seed2024,lipophilicity,molformer,2024,0.4584304690361023,0.6059382557868958,0.8541142889512756,0.8303210204887146,,,,
runs/2026-05-28_12-05-45_gsht_molformer_seed1337,gsht,molformer,1337,0.7351068258285522,0.8657881021499634,0.5419450976588462,0.466768525592055,,,,
runs/2026-05-28_11-20-25_lipophilicity_rf_seed1337,lipophilicity,rf,1337,0.6299721941798945,0.8421344431625456,0.6903822492938702,0.695971034867811,,,,
runs/2026-05-28_11-20-13_esol_rf_seed2024,esol,rf,2024,0.9687959702638634,1.3169558888433919,0.8084869396106802,0.8099293567005631,,,,
runs/2026-05-28_13-40-28_esol_chemfm_seed1337,esol,chemfm,1337,0.911701500415802,1.4243303537368774,0.7599489092826843,0.7822272715695735,,,,
runs/2026-05-28_12-03-44_bace_molformer_seed2024,bace,molformer,2024,0.730998158454895,0.9517616629600525,0.7518858765185235,0.6960487097185579,,,,
runs/2026-05-28_13-40-38_freesolv_chemfm_seed42,freesolv,chemfm,42,1.9480611085891724,2.522014856338501,0.6905051469802856,0.7282384732209757,,,,
runs/2026-05-28_11-20-43_bbbp_rf_seed1337,bbbp,rf,1337,,,,,0.9311789772727271,0.9793821578511649,0.9333333333333333,0.6609222207023923
runs/2026-05-28_12-03-32_bace_molformer_seed1337,bace,molformer,1337,0.5799435377120972,0.7612828016281128,0.8428086120999916,0.786650505461204,,,,
runs/2026-05-28_14-51-12_gsht_unimol_seed2024,gsht,unimol,2024,0.5074226642645623,0.6905431356921236,0.7485227632369224,0.7766233766233765,,,,
runs/2026-05-28_11-20-08_esol_rf_seed42,esol,rf,42,0.9804883438698216,1.3271829000245108,0.8036282470639737,0.8083832335403075,,,,
runs/2026-05-28_15-24-15_bbbp_unimol_seed1337,bbbp,unimol,1337,,,,,0.9133522727272728,0.9647769581730725,0.9259259259259259,0.6415761927366651
runs/2026-05-28_14-29-51_esol_unimol_seed1337,esol,unimol,1337,0.4451655374871833,0.565682460327933,0.9655056006253835,0.9610330814323292,,,,
runs/2026-05-28_11-20-34_bace_rf_seed42,bace,rf,42,0.6434107300412808,0.8320691343425846,0.8046985172797789,0.7527852848576576,,,,
runs/2026-05-28_11-20-17_freesolv_rf_seed1337,freesolv,rf,1337,1.0981379611855147,1.520977182505967,0.8979852038604266,0.9070001722479896,,,,
runs/2026-05-28_14-30-00_freesolv_unimol_seed1337,freesolv,unimol,1337,0.6094361410476268,0.821074085942582,0.968713493874994,0.9764412300176495,,,,
runs/2026-05-28_11-20-41_bbbp_rf_seed42,bbbp,rf,42,,,,,0.9229403409090909,0.9763179039052814,0.9333333333333333,0.6609222207023923
runs/2026-05-28_13-54-24_gsht_chemfm_seed42,gsht,chemfm,42,0.730860710144043,0.9512268900871277,0.3470729887485504,0.33781512605042013,,,,
runs/2026-05-28_14-30-06_lipophilicity_unimol_seed42,lipophilicity,unimol,42,0.42385201025967084,0.5642297749653945,0.8739652978548945,0.8614350022369075,,,,
runs/2026-05-28_11-20-52_gsht_rf_seed2024,gsht,rf,2024,0.5348245773865302,0.7206519641418988,0.7149295319730864,0.7200916730328494,,,,
runs/2026-05-28_15-24-18_bbbp_unimol_seed2024,bbbp,unimol,2024,,,,,0.8509232954545456,0.9225923553968902,0.9274447949526814,0.6754068871111077
runs/2026-05-28_12-02-35_lipophilicity_molformer_seed42,lipophilicity,molformer,42,0.4458392858505249,0.5862124562263489,0.8668005681538119,0.8487461513549774,,,,
runs/2026-05-28_13-48-08_bbbp_chemfm_seed42,bbbp,chemfm,42,,,,,0.9713888888888889,0.9925785239242225,0.9587301587301588,0.8239691615658135
runs/2026-05-28_13-40-23_esol_chemfm_seed42,esol,chemfm,42,0.8770486116409302,1.3706321716308594,0.7787532210350037,0.7992132710401171,,,,
runs/2026-05-28_15-24-12_bbbp_unimol_seed42,bbbp,unimol,42,,,,,0.9098721590909091,0.9696272038882318,0.9182389937106918,0.6296578077183141
runs/2026-05-28_11-20-48_gsht_rf_seed42,gsht,rf,42,0.5397241510958249,0.7270536378749457,0.7092268852862803,0.7289533995416348,,,,
