run_dir,dataset,model,seed,ROC-AUC,PR-AUC,F1,MCC,MAE,RMSE,PearsonR,SpearmanRho
runs/2026-05-30_03-48-44_bbbp_cls_rf_seed2024,bbbp_cls,rf,2024,0.9230475899938987,0.975720922758021,0.9285714285714286,0.6564430609759117,,,,
runs/2026-05-30_04-05-47_bace_cls_unimol_seed1337,bace_cls,unimol,1337,0.8375088841506753,0.765190246901835,0.7482014388489209,0.5351789616302136,,,,
runs/2026-05-30_03-51-54_bace_cls_chemfm_seed42,bace_cls,chemfm,42,0.8258706467661692,0.754816117703816,0.7424242424242424,0.5427023470211989,,,,
runs/2026-05-30_03-58-10_bbbp_cls_chemfm_seed2024,bbbp_cls,chemfm,2024,0.9263270286760219,0.9770210361350418,0.9364548494983278,0.7181539454841932,,,,
runs/2026-05-28_12-02-28_freesolv_molformer_seed42,freesolv,molformer,42,,,,,0.8373923301696777,1.1702253818511963,0.9354885379779789,0.9501579752623148
runs/2026-05-28_12-02-36_lipophilicity_molformer_seed1337,lipophilicity,molformer,1337,,,,,0.4395976960659027,0.5973239541053772,0.8603781971780805,0.8415937809046418
runs/2026-05-28_13-40-54_lipophilicity_chemfm_seed42,lipophilicity,chemfm,42,,,,,0.566952645778656,0.7737607359886169,0.7499914765357971,0.7546983070825644
runs/2026-05-28_13-54-04_bbbp_chemfm_seed2024,bbbp,chemfm,2024,0.9719444444444444,0.9927339349078819,0.9620253164556962,0.8357282871067254,,,,
runs/2026-05-30_03-48-54_esol_cls_molformer_seed2024,esol_cls,molformer,2024,0.9650939777522056,0.984053102485176,0.9493670886075949,0.8281549673954737,,,,
runs/2026-05-28_12-03-58_bbbp_molformer_seed1337,bbbp,molformer,1337,0.9802777777777779,0.9948886127808931,0.9652996845425867,0.8478045628660335,,,,
runs/2026-05-28_11-20-10_esol_rf_seed1337,esol,rf,1337,,,,,0.9722780420207778,1.3199501847622241,0.8082281799635493,0.8147950412712247
