repeat,fold,model,MAE
0,0,Ridge,0.7339242793869482
0,0,SVR,0.6646852336036836
0,0,GBM,0.6637903638432636
0,0,RF,0.6480047719541089
0,0,TabPFN,0.572541315259798
0,1,Ridge,0.6389516746292458
0,1,SVR,0.6755609741531486
0,1,GBM,0.5700779800637797
0,1,RF,0.5661846110750144
0,1,TabPFN,0.4862533530056253
0,2,Ridge,0.7186107903019077
0,2,SVR,0.7325713690053299
0,2,GBM,0.720739997959703
0,2,RF,0.614897336499909
0,2,TabPFN,0.6054588978488666
0,3,Ridge,0.6697207504726684
0,3,SVR,0.7568413989950142
0,3,GBM,0.7300948873522293
0,3,RF,0.6428043469013486
0,3,TabPFN,0.6367573819865417
0,4,Ridge,0.6037027429738288
0,4,SVR,0.5787084704424706
0,4,GBM,0.5678743865110217
0,4,RF,0.527956359583292
0,4,TabPFN,0.5813050067930351
0,5,Ridge,0.6511918320731624
0,5,SVR,0.6081808753177977
0,5,GBM,0.6208449679784293
0,5,RF,0.6404876441499593
0,5,TabPFN,0.5377028774998475
0,6,Ridge,0.6233725536232991
0,6,SVR,0.6119950771735438
0,6,GBM,0.6671114525508578
0,6,RF,0.6022005910767348
0,6,TabPFN,0.5663268330613456
0,7,Ridge,0.6250380455825677
0,7,SVR,0.608280244343033
0,7,GBM,0.5848728523674871
0,7,RF,0.6071747472534911
0,7,TabPFN,0.572001372129008
0,8,Ridge,0.5202432205632692
0,8,SVR,0.5778575453713302
0,8,GBM,0.5948408107546285
0,8,RF,0.5066308436188273
0,8,TabPFN,0.5061975282464091
0,9,Ridge,0.6339284771028769
0,9,SVR,0.6544804447197552
0,9,GBM,0.5685594756439755
0,9,RF,0.5921403392240797
0,9,TabPFN,0.591833382523702
1,0,Ridge,0.691267790758115
1,0,SVR,0.7085733679548963
1,0,GBM,0.6977589100978981
1,0,RF,0.6529543324810767
1,0,TabPFN,0.612900115233694
1,1,Ridge,0.5562446208654461
1,1,SVR,0.5704856616840318
1,1,GBM,0.5108614990434789
1,1,RF,0.4971233562967172
1,1,TabPFN,0.4674993682929738
1,2,Ridge,0.7312665236539921
1,2,SVR,0.6878984115995922
1,2,GBM,0.6754199865383356
1,2,RF,0.6451145818677437
1,2,TabPFN,0.5864892207171631
1,3,Ridge,0.7080388317191971
1,3,SVR,0.7921623883091136
1,3,GBM,0.6543726147259727
1,3,RF,0.6331485527458752
1,3,TabPFN,0.6267993027392069
1,4,Ridge,0.6561164052578373
1,4,SVR,0.6080693249102825
1,4,GBM,0.5381872850156229
1,4,RF,0.5668668351930514
1,4,TabPFN,0.5360399178952535
1,5,Ridge,0.5804789022896342
1,5,SVR,0.560761294801166
1,5,GBM,0.5484360386035962
1,5,RF,0.5370205636451196
1,5,TabPFN,0.5251692055679321
1,6,Ridge,0.6264691598819548
1,6,SVR,0.6277987810700554
1,6,GBM,0.7196717035476751
1,6,RF,0.704201122908204
1,6,TabPFN,0.6494946024247488
1,7,Ridge,0.6374372800320843
1,7,SVR,0.6006247093551724
1,7,GBM,0.6439193203087278
1,7,RF,0.612586085568019
1,7,TabPFN,0.5645290561175028
1,8,Ridge,0.621975692885584
1,8,SVR,0.6208505394839847
1,8,GBM,0.5754883518518307
1,8,RF,0.5698696427978804
1,8,TabPFN,0.5471256888415273
1,9,Ridge,0.6111572116430508
1,9,SVR,0.6233318140905534
1,9,GBM,0.5047064698872548
1,9,RF,0.4668038290782914
1,9,TabPFN,0.4826725868064118
2,0,Ridge,0.6270052320222133
2,0,SVR,0.640047282193953
2,0,GBM,0.546379914459921
2,0,RF,0.5608362112569978
2,0,TabPFN,0.5040143666747038
2,1,Ridge,0.6106394956330057
2,1,SVR,0.6469242497379829
2,1,GBM,0.6059977082028357
2,1,RF,0.5806886091935879
2,1,TabPFN,0.5539255015093995
2,2,Ridge,0.697998051623011
2,2,SVR,0.6652730657265569
2,2,GBM,0.6561735567383032
2,2,RF,0.6242798163657234
2,2,TabPFN,0.5815136891662344
2,3,Ridge,0.7384320710309739
2,3,SVR,0.7131882437625594
2,3,GBM,0.6502453103350044
2,3,RF,0.6445807398867456
2,3,TabPFN,0.5959949583751679
2,4,Ridge,0.6453604238724576
2,4,SVR,0.6672484700935711
2,4,GBM,0.6791542001000956
2,4,RF,0.6782347109397615
2,4,TabPFN,0.6447070932138316
2,5,Ridge,0.639344323438308
2,5,SVR,0.6304248213679187
2,5,GBM,0.6124232961476354
2,5,RF,0.6196770636578314
2,5,TabPFN,0.6262509951218668
2,6,Ridge,0.615141314723777
2,6,SVR,0.6255250694931495
2,6,GBM,0.6137587354126186
2,6,RF,0.6549331363383902
2,6,TabPFN,0.6195836277190145
2,7,Ridge,0.5719662372016249
2,7,SVR,0.5557392942631892
2,7,GBM,0.5181459524227398
2,7,RF,0.4860941992387096
2,7,TabPFN,0.4567056771784718
2,8,Ridge,0.63280871168332
2,8,SVR,0.6195388532183285
2,8,GBM,0.6558546852676786
2,8,RF,0.5929340802403661
2,8,TabPFN,0.5228483383849589
2,9,Ridge,0.6107151359870483
2,9,SVR,0.6142146581988458
2,9,GBM,0.5642884334447306
2,9,RF,0.5435521287212354
2,9,TabPFN,0.5596236517573547
3,0,Ridge,0.6090134599519376
3,0,SVR,0.6100015523996173
3,0,GBM,0.5313393273420979
3,0,RF,0.5210654412334407
3,0,TabPFN,0.5041602891659824
3,1,Ridge,0.6404189535640412
3,1,SVR,0.6252200918757012
3,1,GBM,0.5796540291459685
3,1,RF,0.5952358876428013
3,1,TabPFN,0.5288421305819702
3,2,Ridge,0.6288856048120991
3,2,SVR,0.6095077756610033
3,2,GBM,0.6043159258989456
3,2,RF,0.5958222575696775
3,2,TabPFN,0.5192961748969015
3,3,Ridge,0.6064754226678108
3,3,SVR,0.7150469560234817
3,3,GBM,0.6403516662079073
3,3,RF,0.6281022291688486
3,3,TabPFN,0.5749191871869913
3,4,Ridge,0.787555472158618
3,4,SVR,0.7679556156161839
3,4,GBM,0.691949556858833
3,4,RF,0.7057552946802276
3,4,TabPFN,0.644871038239263
3,5,Ridge,0.5861650666204469
3,5,SVR,0.6042793566979783
3,5,GBM,0.5476217350779405
3,5,RF,0.5587176240757833
3,5,TabPFN,0.4749383299299621
