rank,scaffold_smiles,n_molecules,pct_of_419
1,c1ccccc1,99,23.627684964200476
2,<acyclic_empty_scaffold>,22,5.250596658711217
3,c1ccc2c(N3CCc4c(nc(OCC5CCCN5)nc4N4CCNCC4)C3)cccc2c1,19,4.534606205250597
4,C1=Nc2ccccc2CO1,17,4.05727923627685
5,C=C1CCN(c2ccccc2)C1=O,12,2.863961813842482
6,O=C(NCc1ccccc1)N1C(=O)c2ccccc2S1(=O)=O,11,2.6252983293556085
7,c1nc(-c2ccc3c(c2)CCC3)c2cc[nH]c2n1,10,2.386634844868735
8,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,7,1.6706443914081146
9,O=C(Cn1ncccc1=O)Nc1cccc(S(=O)(=O)NCCc2ccccn2)c1,7,1.6706443914081146
10,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,6,1.431980906921241
11,c1ccc(COC2CNC2)cc1,6,1.431980906921241
12,c1ccncc1,6,1.431980906921241
13,O=C(CNc1ccccc1)N1CCNCC1,5,1.1933174224343674
14,c1ccc(Nc2nccc(-c3cnn4ccccc34)n2)cc1,5,1.1933174224343674
15,c1cc(N2CCc3c(nc(OCC4CCCN4)nc3N3CCNCC3)C2)c2cn[nH]c2c1,5,1.1933174224343674
16,c1cc2c(OCC3CCNC3)nc(Nc3cn[nH]c3)nc2[nH]1,5,1.1933174224343674
17,C1CCNC1,5,1.1933174224343674
18,c1ccc(-c2ccccc2)cc1,4,0.954653937947494
19,c1cc(N2CCOCC2)ncn1,4,0.954653937947494
20,c1ccc(Nc2ncnc3ccccc23)cc1,4,0.954653937947494
21,c1ccc(-n2cc(-c3cccc4[nH]ncc34)cn2)cc1,4,0.954653937947494
22,C1CNC1,3,0.7159904534606205
23,c1nc(-c2ccc3c(c2)CCCO3)c2cc[nH]c2n1,3,0.7159904534606205
24,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CCCN3)n3ccncc23)cc1,3,0.7159904534606205
25,c1ccc(Nc2cc(N3CCOCC3)ncn2)cc1,3,0.7159904534606205
26,c1ccc(Oc2nc(Nc3cn[nH]c3)nc3[nH]ccc23)cc1,3,0.7159904534606205
27,O=S(=O)(NC1CCc2cc(-c3ncnc4[nH]ccc34)ccc21)c1ccccc1,3,0.7159904534606205
28,c1cncnc1,3,0.7159904534606205
29,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,2,0.477326968973747
30,C1CCNCC1,2,0.477326968973747
31,C1COCCN1,2,0.477326968973747
32,O=C(NCc1ccccc1)C1CC(Sc2ccccc2)CN1,2,0.477326968973747
33,O=C(Nc1ccc2nccc(Nc3ccccc3)c2c1)C1CCCN1,2,0.477326968973747
34,O=S(=O)(C=Cc1ccccc1)N1CCNCC1,2,0.477326968973747
35,c1ccc(Nc2ncnc3ccc(OC4CCNCC4)cc23)cc1,2,0.477326968973747
36,c1ccc(N2CCNCC2)cc1,2,0.477326968973747
37,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,2,0.477326968973747
38,C1=Nc2ccccc2CCO1,2,0.477326968973747
39,c1nc2c(Nc3cn[nH]c3)nc(N3CCCC3)nc2[nH]1,2,0.477326968973747
40,c1cc2c(NC3CCNC3)nc(Nc3cn[nH]c3)nc2[nH]1,2,0.477326968973747
41,c1nc2c(Nc3cn[nH]c3)nc(NC3CCNC3)nc2[nH]1,2,0.477326968973747
42,c1ccc(-c2c[nH]c3ncnc(-c4ccc5c(c4)CCC5)c23)cc1,2,0.477326968973747
43,c1nc(NC2CCOCC2)nc2c1CCNC2,2,0.477326968973747
44,O=C1C=CCN1,2,0.477326968973747
45,c1cc(N2CCNCC2)ncn1,2,0.477326968973747
46,c1ccc2c(c1)CCNC2,2,0.477326968973747
47,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,2,0.477326968973747
48,c1ccsc1,2,0.477326968973747
49,O=C(CNc1ccccc1)N1CCCCC1,2,0.477326968973747
50,c1ccc(C2CO2)cc1,2,0.477326968973747
